CustomerID,TotalTransactions,TotalQuantity,TotalSpent,LastPurchaseDate,Recency,Frequency,Monetary
12346.0,12,74285,77556.46,2011-01-18 10:01:00,325,12,77556.46
12347.0,8,2967,4921.53,2011-12-07 15:52:00,1,8,4921.53
12348.0,5,2714,2019.4,2011-09-25 13:13:00,74,5,2019.4
12349.0,4,1624,4428.69,2011-11-21 09:51:00,18,4,4428.69
12350.0,1,197,334.4,2011-02-02 16:01:00,309,1,334.4
12351.0,1,261,300.93,2010-11-29 15:23:00,374,1,300.93
12352.0,10,724,2849.84,2011-11-03 14:37:00,35,10,2849.84
12353.0,2,212,406.76,2011-05-19 17:47:00,203,2,406.76
12354.0,1,530,1079.4,2011-04-21 13:11:00,231,1,1079.4
12355.0,2,543,947.61,2011-05-09 13:49:00,213,2,947.61
12356.0,6,3416,6371.73,2011-11-17 08:40:00,22,6,6371.73
12357.0,3,6587,18287.66,2011-11-06 16:07:00,32,3,18287.66
12358.0,5,1079,3887.07,2011-12-08 10:26:00,1,5,3887.07
12359.0,10,2739,8873.39,2011-10-13 12:47:00,57,10,8873.39
12360.0,8,2459,4252.89,2011-10-18 15:22:00,51,8,4252.89
12361.0,4,235,511.25,2011-02-25 13:51:00,286,4,511.25
12362.0,11,2230,5356.23,2011-12-06 15:40:00,2,11,5356.23
12363.0,2,408,552.0,2011-08-22 10:18:00,109,2,552.0
12364.0,4,1506,1313.1,2011-12-02 10:22:00,7,4,1313.1
12365.0,2,174,641.38,2011-02-21 14:04:00,290,2,641.38
12366.0,1,296,500.24,2010-03-16 10:28:00,633,1,500.24
12367.0,1,173,168.9,2011-12-05 16:48:00,3,1,168.9
12368.0,1,330,917.6999999999999,2010-03-21 15:56:00,627,1,917.6999999999999
12369.0,3,1241,1791.15,2010-10-22 13:13:00,412,3,1791.15
12370.0,7,2604,4316.56,2011-10-19 14:51:00,50,7,4316.56
12371.0,5,1436,4067.38,2011-10-26 10:16:00,44,5,4067.38
12372.0,3,794,1298.04,2011-09-29 12:12:00,71,3,1298.04
12373.0,3,516,1127.65,2011-02-01 13:10:00,310,3,1127.65
12374.0,4,1362,2989.2200000000003,2011-11-14 15:37:00,24,4,2989.2200000000003
12375.0,2,178,457.5,2011-11-29 10:36:00,10,2,457.5
12376.0,2,240,503.15,2010-11-15 12:15:00,389,2,503.15
12377.0,4,2105,3426.32,2011-01-28 15:45:00,314,4,3426.32
12378.0,2,3316,5416.32,2011-08-02 10:34:00,129,2,5416.32
12379.0,4,815,1620.22,2011-09-19 10:09:00,81,4,1620.22
12380.0,11,3355,9676.300000000001,2011-11-18 11:27:00,21,11,9676.300000000001
12381.0,5,808,1845.31,2011-12-05 12:44:00,4,5,1845.31
12383.0,5,1532,1850.56,2011-06-08 08:02:00,184,5,1850.56
12384.0,2,126,585.27,2011-11-11 08:39:00,28,2,585.27
12385.0,1,612,1938.4,2010-11-25 15:14:00,378,1,1938.4
12386.0,2,354,401.9,2011-01-06 12:37:00,337,2,401.9
12387.0,1,134,143.94,2010-10-20 16:27:00,414,1,143.94
12388.0,8,2001,3901.11,2011-11-24 12:30:00,15,8,3901.11
12389.0,3,614,1433.33,2010-11-02 11:52:00,402,3,1433.33
12390.0,1,353,549.84,2011-09-21 09:33:00,79,1,549.84
12391.0,6,1204,2724.84,2011-11-18 12:07:00,21,6,2724.84
12392.0,1,73,234.75000000000003,2010-04-27 14:04:00,590,1,234.75000000000003
12393.0,6,1311,2399.4500000000003,2011-09-28 15:41:00,71,6,2399.4500000000003
12394.0,2,819,1272.48,2011-10-07 08:08:00,63,2,1272.48
12395.0,15,3205,4721.17,2011-11-20 15:21:00,18,15,4721.17
12396.0,1,591,931.43,2010-02-03 13:22:00,673,1,931.43
12397.0,2,1263,2409.9,2011-11-04 09:52:00,35,2,2409.9
12398.0,1,1394,1635.6599999999999,2011-10-25 10:27:00,45,1,1635.6599999999999
12399.0,7,2198,1962.3,2011-08-12 13:15:00,118,7,1962.3
12400.0,1,91,205.25,2010-10-21 13:45:00,413,1,205.25
12401.0,1,11,84.3,2011-02-09 13:50:00,302,1,84.3
12402.0,6,584,1256.9,2011-01-20 13:49:00,322,6,1256.9
12403.0,2,260,1019.36,2011-10-21 10:51:00,49,2,1019.36
12404.0,1,1,63.24,2010-01-26 16:25:00,681,1,63.24
12405.0,1,857,1710.39,2011-07-14 08:52:00,148,1,1710.39
12406.0,5,3416,6390.36,2011-11-17 19:22:00,21,5,6390.36
12407.0,5,1416,1708.1200000000001,2011-10-21 10:11:00,49,5,1708.1200000000001
12408.0,8,2229,4340.7699999999995,2011-11-07 12:27:00,32,8,4340.7699999999995
12409.0,7,13143,23419.29,2011-09-22 10:38:00,78,7,23419.29
12410.0,3,341,1013.71,2011-02-04 10:39:00,308,3,1013.71
12411.0,1,138,346.9,2010-10-26 09:25:00,409,1,346.9
12412.0,6,1997,2596.93,2011-09-26 10:16:00,74,6,2596.93
12413.0,4,319,999.45,2011-10-04 09:00:00,66,4,999.45
12414.0,6,495,952.41,2011-05-06 14:51:00,216,6,952.41
12415.0,28,91447,144458.37,2011-11-15 14:22:00,23,28,144458.37
12416.0,1,132,202.56,2010-02-21 10:19:00,656,1,202.56
12417.0,20,2884,6797.41,2011-12-06 14:52:00,2,20,6797.41
12418.0,4,1088,2021.2,2011-08-19 11:08:00,112,4,2021.2
12419.0,2,231,503.01,2010-11-19 10:04:00,385,2,503.01
12420.0,1,345,600.39,2011-10-07 08:55:00,63,1,600.39
12421.0,6,652,1098.6,2011-11-24 09:07:00,15,6,1098.6
12422.0,17,2596,5231.8,2011-09-05 09:48:00,95,17,5231.8
12423.0,10,1793,2622.39,2011-12-09 10:10:00,0,10,2622.39
12424.0,4,2025,3340.03,2011-06-30 12:06:00,162,4,3340.03
12425.0,2,1147,1741.41,2011-09-22 17:31:00,77,2,1741.41
12426.0,2,584,1345.21,2011-05-29 12:26:00,194,2,1345.21
12427.0,3,533,825.8,2011-11-18 08:56:00,21,3,825.8
12428.0,9,3536,7956.46,2011-11-14 08:22:00,25,9,7956.46
12429.0,8,2890,6204.41,2011-11-30 17:22:00,8,8,6204.41
12430.0,1,117,256.4,2011-10-27 15:09:00,42,1,256.4
12431.0,27,4600,10432.22,2011-11-04 11:55:00,35,27,10432.22
12432.0,5,1801,5059.32,2011-10-28 11:43:00,42,5,5059.32
12433.0,10,13534,16794.14,2011-12-09 10:02:00,0,10,16794.14
12434.0,3,532,1103.43,2011-09-16 12:38:00,84,3,1103.43
12435.0,6,4958,13925.93,2011-09-21 09:06:00,79,6,13925.93
12436.0,1,211,509.01,2011-09-01 12:09:00,99,1,509.01
12437.0,39,8000,12683.4,2011-12-08 11:35:00,1,39,12683.4
12438.0,2,1180,2906.85,2011-11-25 13:28:00,13,2,2906.85
12439.0,2,478,1142.88,2010-01-26 12:11:00,682,2,1142.88
12440.0,2,331,859.2,2010-09-03 13:11:00,461,2,859.2
12441.0,1,121,173.55,2010-12-08 10:45:00,366,1,173.55
12442.0,1,182,172.06,2011-12-06 14:22:00,2,1,172.06
12443.0,1,182,485.31,2009-12-07 15:42:00,731,1,485.31
12444.0,5,1153,5005.46,2011-11-18 13:23:00,20,5,5005.46
12445.0,2,206,434.98,2011-11-17 18:43:00,21,2,434.98
12446.0,1,351,1002.3100000000001,2011-10-13 12:50:00,57,1,1002.3100000000001
12447.0,1,190,476.49,2011-04-10 13:25:00,242,1,476.49
12448.0,1,243,449.45,2011-10-26 13:46:00,43,1,449.45
12449.0,6,2282,4835.89,2011-11-17 13:46:00,21,6,4835.89
12450.0,5,442,688.2,2011-07-06 14:41:00,155,5,688.2
12451.0,8,9359,12669.88,2011-11-29 08:40:00,10,8,12669.88
