CustomerID,RecommendedProduct
12346.0,PARTY BUNTING
12346.0,SPOTTY BUNTING
12346.0,WRAP ALPHABET DESIGN
12346.0,CUPCAKE LACE PAPER SET 6
12346.0,PAPER BUNTING WHITE LACE
12347.0,DOUGHNUT LIP GLOSS 
12347.0,PAPER CHAIN KIT RETRO SPOT
12347.0,PAPER CHAIN KIT 50'S CHRISTMAS 
12347.0,PAPER CHAIN KIT EMPIRE
12347.0,PACK OF 12 SPACEBOY TISSUES
12348.0,PACK OF 12 PINK PAISLEY TISSUES 
12348.0,PACK OF 60 DINOSAUR CAKE CASES
12348.0,PACK OF 72 RETROSPOT CAKE CASES
12348.0,PACK OF 72 RETRO SPOT CAKE CASES
12348.0,PACK OF 12 PINK SPOT TISSUES 
12349.0,HEART OF WICKER SMALL
12349.0,ASSORTED CAKES FRIDGE MAGNETS
12349.0,MINI CAKE STAND  HANGING STRAWBERY
12349.0,HEART OF WICKER LARGE
12349.0,HEART FILIGREE DOVE  SMALL
12350.0,WORLD WAR 2 GLIDERS ASSTD DESIGNS
12350.0,BALLOON WATER BOMB PACK OF 35
12350.0,TRADITIONAL WOODEN SKIPPING ROPE
12350.0,GROW A FLYTRAP OR SUNFLOWER IN TIN
12350.0,PAPER CHAIN KIT 50'S CHRISTMAS 
12351.0,SKULLS AND CROSSBONES WRAP
12351.0,WRAP SUKI AND FRIENDS
12351.0,DINOSAUR KEYRINGS ASSORTED
12351.0,ANIMAL STICKERS
12351.0,RED RETROSPOT WRAP 
12352.0,SWEETHEART CERAMIC TRINKET BOX
12352.0,BEWARE OF THE CAT METAL SIGN 
12352.0,CERAMIC STRAWBERRY DESIGN MUG
12352.0,TEA TIME OVEN GLOVE
12352.0,WHITE HANGING HEART T-LIGHT HOLDER
12353.0,WHITE HANGING HEART T-LIGHT HOLDER
12353.0,HEART OF WICKER SMALL
12353.0,MINI CAKE STAND  HANGING STRAWBERY
12353.0,CERAMIC CAKE DESIGN SPOTTED MUG
12353.0,ASSORTED CAKES FRIDGE MAGNETS
12354.0,POPCORN HOLDER
12354.0,PAPER CHAIN KIT 50'S CHRISTMAS 
12354.0,WORLD WAR 2 GLIDERS ASSTD DESIGNS
12354.0,SMALL POPCORN HOLDER
12354.0,PINK  SPOTTY CUP
12355.0,MINI PAINT SET VINTAGE 
12355.0,RABBIT NIGHT LIGHT
12355.0,3D DOG PICTURE PLAYING CARDS
12355.0,ECONOMY PASSPORT COVER 
12355.0,10 COLOUR SPACEBOY PEN
12356.0,PACK OF 60 PINK PAISLEY CAKE CASES
12356.0,PACK OF 72 RETRO SPOT CAKE CASES
12356.0,60 GOLD AND SILVER FAIRY CAKE CASES
12356.0,60 CAKE CASES VINTAGE CHRISTMAS
