InvoiceDate,Sales,Year,Month,Quarter,MonthName,GrowthRate,RollingMean_3,RollingStd_3,Lag_1,Lag_2,Lag_3,Lag_6,RollingMean_6,RollingMean_12,Day,Weekday,Weekend
2010-11-30,1172336.042,2010,11,4,November,13.085623528957813,1013543.681,171534.7599983256,1036680.0,831615.001,604242.65,599985.79,812596.1688333334,710010.4395,30,1,0
2010-12-31,884591.89,2010,12,4,December,-24.544511274182923,1031202.644,143950.25294911,1172336.042,1036680.0,831615.001,639066.58,853517.0538333333,726505.2503333334,31,4,0
2011-01-31,569445.04,2011,1,1,January,-35.62624228897238,875457.6573333334,301549.2757874698,884591.89,1172336.042,1036680.0,591636.74,849818.4371666667,727515.7485000001,31,0,0
2011-02-28,447137.35,2011,2,1,February,-21.478401146491688,633724.76,225700.0895970396,569445.04,884591.89,1172336.042,604242.65,823634.2204999999,722579.6055000001,28,0,0
2011-03-31,595500.76,2011,3,1,March,33.18072399901284,537361.0499999999,79214.65879145791,447137.35,569445.04,884591.89,831615.001,784281.8470000001,713903.9195833333,31,3,0
2011-04-30,469200.361,2011,4,2,April,-21.20910794471531,503946.15699999995,80052.34607094436,595500.76,447137.35,569445.04,1036680.0,689701.9071666667,703453.1836666666,30,5,1
2011-05-31,678594.56,2011,5,2,May,44.62788531400983,581098.5603333333,105437.42295855779,469200.361,595500.76,447137.35,1172336.042,607411.6601666667,710003.9145,31,1,0
2011-06-30,661213.69,2011,6,2,June,-2.5613040576099144,603002.8703333334,116201.79554727969,678594.56,469200.361,595500.76,884591.89,570181.9601666667,711849.5070000001,30,3,0
2011-07-31,600091.011,2011,7,3,July,-9.24401293022229,646633.0869999999,41232.84236238804,661213.69,678594.56,469200.361,569445.04,575289.622,712554.0295833334,31,6,1
2011-08-31,645343.9,2011,8,3,August,7.54100430942799,635549.5336666667,31716.59945419582,600091.011,661213.69,678594.56,447137.35,608324.0470000001,715979.13375,31,2,0
2011-09-30,952838.382,2011,9,3,September,47.648158137080074,732757.7643333334,191933.75079729376,645343.9,600091.011,661213.69,595500.76,667880.3173333333,726081.0821666667,30,4,0
2011-10-31,1039318.79,2011,10,4,October,9.076083587069439,879167.0240000001,207061.95988109708,952838.382,645343.9,600091.011,469200.361,762900.0555000001,726300.9813333334,31,0,0
2011-11-30,1161817.3800000001,2011,11,4,November,11.786430802429738,1051324.8506666666,105005.5451908119,1039318.79,952838.382,645343.9,678594.56,843437.1921666666,725424.4261666667,30,2,0
2011-12-31,518210.79,2011,12,4,December,-55.396536588220094,906448.9866666667,341757.4419836912,1161817.3800000001,1039318.79,952838.382,661213.69,819603.3755,694892.6678333334,31,5,1
